,starting_capacity,choice_delay_phc,choice_delay_ss,demand_served_phc,demand_served_ss,demand_fulfilled_dates_phc,demand_fulfilled_dates_ss,bad_experience_phc,bad_experience_ss
305,24,2,-1,0,0,307,0,0,0
306,24,12,-1,1,0,318,0,0,0
307,23,368,-1,1,0,675,0,0,0
308,22,-1,-1,1,0,0,0,0,0
309,21,45,-1,0,0,354,0,0,0
310,21,15,-1,1,0,325,0,0,0
311,20,3,-1,0,0,314,0,0,0
312,20,-1,-1,0,0,0,0,0,0
313,20,-1,16,0,0,0,329,0,0
314,20,-1,16,1,0,0,357,0,0
315,19,-1,1,0,0,0,329,0,0
316,19,-1,0,0,0,0,329,0,0
317,19,-1,-1,0,0,0,0,0,0
318,19,-1,-1,1,0,0,0,0,0
319,18,0,-1,1,0,319,0,0,0
320,50,-1,12,0,0,0,357,0,0
321,50,-1,0,0,0,0,329,0,0
322,50,-1,31,0,0,0,357,0,0
323,50,3,-1,0,0,326,0,0,0
324,50,-1,1,0,0,0,329,0,0
325,50,-1,0,1,0,0,329,0,0
326,49,-1,0,2,0,0,329,0,0
327,47,-1,0,0,0,0,329,0,0
328,47,-1,3,1,0,0,357,0,0
329,46,5,-1,1,11,334,0,0,0
330,34,13,-1,0,0,343,0,0,0
331,34,78,-1,0,0,409,0,0,0
332,34,-1,12,0,0,0,357,0,0
333,34,-1,-1,1,0,0,0,0,0
334,33,-1,0,1,0,0,357,0,0
335,32,90,-1,0,0,425,0,0,0
336,32,29,-1,0,0,365,0,0,0
337,32,7,-1,0,0,344,0,0,0
338,32,-1,6,0,0,0,357,0,0
339,32,0,-1,1,0,339,0,0,0
340,31,46,-1,0,0,0,0,1,0
341,31,-1,4,0,0,0,357,0,0
342,31,-1,-1,0,0,0,0,0,0
343,31,-1,4,2,0,0,357,0,0
344,29,-1,31,1,0,0,525,0,1
345,28,-1,-1,0,0,0,0,0,0
346,28,33,-1,0,0,454,0,1,0
347,28,-1,15,0,0,403,0,0,1
348,28,2,-1,0,0,350,0,0,0
349,28,0,-1,1,0,349,0,0,0
350,27,1,-1,1,0,351,0,0,0
351,26,-1,1,1,0,0,357,0,0
352,25,-1,3,0,0,0,357,0,0
353,25,-1,0,0,0,0,357,0,0
354,25,1,-1,1,0,355,0,0,0
355,24,-1,2,1,0,0,357,0,0
356,23,-1,0,0,0,0,357,0,0
357,23,38,-1,0,19,418,0,1,0
358,4,-1,27,0,0,403,0,0,1
359,4,307,-1,0,0,666,0,0,0
360,4,0,-1,1,0,360,0,0,0
