Birth Latitude,Birth Longitude,Births,Location ID,key,PHC_ID,Primary Health Centre Name,Primary Health Centre Location,Mandal,PHC Latitude,PHC Longitude,PHC Full Name,Distance
17.5870836,77.8370822,4.29055357,67,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",4.384721255987979
17.5870836,77.8454156,4.29055357,68,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",5.254192469115066
17.5870836,77.8537489,4.29055357,69,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",6.127621213918829
17.5870836,77.8620822,4.29055357,70,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",7.003533493518194
17.5870836,77.8704156,3.86083961,71,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",7.88111182209051
17.578750199999998,77.76208220000002,4.11933899,72,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",3.648807368054707
17.578750199999998,77.77041559999998,4.28048277,73,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",2.7657257943570905
17.578750199999998,77.77874890000002,4.28887463,74,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",1.8829149905098075
17.578750199999998,77.7870822,4.29055357,75,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",1.0010529232213448
17.578750199999998,77.7954156,4.29055357,76,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",0.13946693932093712
17.578750199999998,77.8037489,4.29055357,77,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",0.7729325088023986
17.578750199999998,77.8120822,4.29055357,78,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",1.6540878775062853
17.578750199999998,77.82041559999998,4.29055357,79,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",2.5367796331834342
