scenario_name,ss_mode,ss_replenishment_source,replenishmentdisruption,ccedisruption,phc,ss,overall
ccedisruption,periodic,phc,0,1,0.455128205,0.544871795,0.854794521
ccedisruption,periodic,phc,0,1,0.403278689,0.596721311,0.835616438
ccedisruption,periodic,phc,0,2,0.422222222,0.577777778,0.863013699
ccedisruption,periodic,phc,0,2,0.424050633,0.575949367,0.865753425
ccedisruption,periodic,phc,0,2,0.435064935,0.564935065,0.843835616
ccedisruption,periodic,phc,0,2,0.442622951,0.557377049,0.835616438
ccedisruption,periodic,phc,0,2,0.480769231,0.519230769,0.854794521
ccedisruption,periodic,phc,0,2,0.400662252,0.599337748,0.82739726
ccedisruption,periodic,phc,0,2,0.486486486,0.513513514,0.810958904
ccedisruption,periodic,phc,0,2,0.416403785,0.583596215,0.868493151
ccedisruption,periodic,phc,0,2,0.446202532,0.553797468,0.865753425
ccedisruption,periodic,phc,0,2,0.438311688,0.561688312,0.843835616
ccedisruption,periodic,phc,0,2,0.42172524,0.57827476,0.857534247
ccedisruption,periodic,phc,0,2,0.42394822,0.57605178,0.846575342
ccedisruption,periodic,phc,0,2,0.462264151,0.537735849,0.871232877
ccedisruption,periodic,phc,0,2,0.446254072,0.553745928,0.84109589
ccedisruption,periodic,phc,0,2,0.466453674,0.533546326,0.857534247
ccedisruption,periodic,phc,0,2,0.382352941,0.617647059,0.838356164
ccedisruption,periodic,phc,0,2,0.477508651,0.522491349,0.791780822
ccedisruption,periodic,phc,0,2,0.472312704,0.527687296,0.84109589
ccedisruption,periodic,phc,0,2,0.413114754,0.586885246,0.835616438
ccedisruption,periodic,phc,0,2,0.429508197,0.570491803,0.835616438
ccedisruption,periodic,phc,0,2,0.444444444,0.555555556,0.838356164
ccedisruption,periodic,phc,0,2,0.397394137,0.602605863,0.84109589
ccedisruption,periodic,phc,0,2,0.467741935,0.532258065,0.849315068
ccedisruption,periodic,phc,0,2,0.431893688,0.568106312,0.824657534
ccedisruption,periodic,phc,0,2,0.433962264,0.566037736,0.871232877
ccedisruption,periodic,phc,0,2,0.43003413,0.56996587,0.802739726
ccedisruption,periodic,phc,0,2,0.441471572,0.558528428,0.819178082
ccedisruption,periodic,phc,0,2,0.431893688,0.568106312,0.824657534
ccedisruption,periodic,phc,0,2,0.420711974,0.579288026,0.846575342
ccedisruption,periodic,phc,0,2,0.416107383,0.583892617,0.816438356
ccedisruption,periodic,phc,0,2,0.399339934,0.600660066,0.830136986
ccedisruption,periodic,phc,0,2,0.412162162,0.587837838,0.810958904
ccedisruption,periodic,phc,0,2,0.448160535,0.551839465,0.819178082
ccedisruption,periodic,phc,0,2,0.453947368,0.546052632,0.832876712
