Latitude,Longitude,Location Name,Type,Level
17.4081,77.7414,Kothapally,AWC,1
17.4054,77.7614,Rampoor - I,AWC,1
17.4213,77.7667,Enkepally,AWC,1
17.4299,77.754,Ennaram - I,AWC,1
17.4694,77.7929,Ravulapally - I,AWC,1
17.4753,77.7844,Thimmapoor,AWC,1
17.4747,77.7547,Peddapoor,AWC,1
17.4639,77.8036,Barwad - I,AWC,1
17.4496,77.7954,Barwad - II,AWC,1
17.4384,77.809,Mothkpally - I,AWC,1
17.438,77.8086,Nagsanpally,AWC,1
17.4214,77.7956,Karimpoor,AWC,1
17.4029,77.7847,Jinnaram,AWC,1
17.3974,77.7797,Kankanalpally,AWC,1
17.4051,77.8206,Beerol,AWC,1
17.5369,77.7709,Marpally - IV,AWC,1
17.5192,77.8918,Panchalingal - II,AWC,1
17.5832,77.798,Patloor - I,AWC,1
17.5873,77.7936,Patloor - II,AWC,1
17.5853,77.791,Patloor - III,AWC,1
17.5385,77.7697,Marpally - I,AWC,1
17.5766,77.7647,Marpally - II,AWC,1
17.5369,77.7709,Marpally - III,AWC,1
17.5418,77.805,Kothlapoor - I,AWC,1
17.539,77.7636,Kothlapoor - II,AWC,1
17.5167,77.7403,Kotmarpally - I,AWC,1
17.5148,77.7561,Kotmarpally - II,AWC,1
17.6085455,77.7845465,Ghanapoor,AWC,1
17.6227,77.7605,Zhamshedpoor,AWC,1
17.5723,77.8232,Thumalapally,AWC,1
17.5784,77.8591,Pilligundla,AWC,1
17.576,77.8544,Gundlamarpally,AWC,1
17.555,77.812,Panchalingal - I,AWC,1
17.622,77.8355,Komshetpally - I,AWC,1
17.6446,77.8222,Mogiligundkla,AWC,1
17.592,77.8213,Bilkal,AWC,1
17.5828,77.835,Dargulapally,AWC,1
17.442,77.7075,Bantaram - I,AWC,1
17.4421,77.7051,Bantaram - II,AWC,1
17.4228,77.7018,Edulapally,AWC,1
17.4568,77.741,Yacharam,AWC,1
17.4386,77.7381,Sulthanpoor,AWC,1
17.4593,77.7611,Malasomaram,AWC,1
17.5261,77.7418,Buchanpally - I,AWC,1
17.5248,77.7425,Buchanpally - III -1,AWC,1
17.5055,77.7107,Damasthapoor,AWC,1
17.4693,77.6543,Thurmamidi - I,AWC,1
17.4692,77.6542,Thurmamidi - II,AWC,1
17.4698,77.6518,Thurmamidi - III,AWC,1
17.4591,77.6722,Baswapoor,AWC,1
17.461,77.6356,Bopunaram - I,AWC,1
17.4837,77.9021,Mallareddyguda,AWC,1
17.4386,77.7382,Nurullapoor,AWC,1
17.4088,77.6839,Rompally,AWC,1
17.3931,77.7106,Salbathapoor - I,AWC,1
17.4752499,77.7282185,Kalkoda - I,AWC,1
17.475,77.7265,Kalkoda,AWC,1
17.5671,77.9204,RallagudpallyTanda,AWC,1
17.5516,77.9478,MakthaTanda,AWC,1
17.4563,77.8926,Velchal - II,AWC,1
17.5723,77.8232,NarsapoorTanda,AWC,1
17.6435,77.8161,Komshetpally - II,AWC,1
17.4871,77.7202,Shapoor,AWC,1
17.3931,77.7106,Madwapoor,AWC,1
17.3793,77.7761,Malshetpally,AWC,1
17.603,77.8498,Mallikarjunagiri,AWC,1
17.5249,77.8427,Siripuram - III,AWC,1
17.4774,77.7743,Ravulapally - II,AWC,1
17.5239,77.7412,Buchanpally - III -2,AWC,1
17.461696,77.7264299,Kalkoda - II,AWC,1
17.4753,77.7843,Kudgunta,AWC,1
17.4051,77.7614,Rampoor - II,AWC,1
17.4299,77.7541,Ennaram - II,AWC,1
17.4633,77.8004,Barwad - III,AWC,1
17.438,77.8086,Mothkpally - II,AWC,1
17.4481,77.7284,Bantaram - III,AWC,1
17.4705,77.6524,Thurmamidi - IV,AWC,1
17.4609,77.6356,Bopunaram - II,AWC,1
17.3925,77.6874,Mangraspally,AWC,1
17.3931,77.7106,Salbathapoor - II,AWC,1
17.5493,77.9087,Mekavanampally-ll (Mini),AWC,1
17.5227,77.8965,Kaslabad Tanda (Mini),AWC,1
17.5339,77.9325,Sudoduka Tanda (Mini),AWC,1
17.4817,77.8237,Pallegutta Tanda (Mini),AWC,1
17.5236,77.9416,Tekupally SC (Mini),AWC,1
17.4587,78.0107,Balreddyguda (Mini),AWC,1
17.5397,77.7722,Marpally Tanda (Mini),AWC,1
17.5663,77.7554,Kattepad Tanda (Mini),AWC,1
17.6215,77.8352,Rampur (Mini),AWC,1
17.5031,77.7441,Gurramgattu Tanda (Mini),AWC,1
17.5363,77.7208,Jajjigubbadi Tanda (Mini),AWC,1
17.5055,77.7106,Damasthapur Tanda (Mini),AWC,1
17.5405,77.7729,Kothpalur Sc (Mini),AWC,1
17.4251,77.6929,Nagaram Tanda (Mini),AWC,1
17.4268,77.8348,Nagusanpally Tanda (Mini),AWC,1
17.4696,77.7995,Barwad Tanda (Mini),AWC,1
17.4776,77.75,Madgul Tanda (Mini),AWC,1
17.1809,77.8777,Baharpet,AWC,1
17.1793,77.8807,Indira nagar,AWC,1
17.1733,77.8755,Premnagar,AWC,1
17.1733,77.8756,Boiwada,AWC,1
17.1744,77.8747,Munnurgeri,AWC,1
17.1733,77.8756,Telugugeri,AWC,1
17.1592,77.8733,Yerragaddapally,AWC,1
17.1688,77.865,Sulthannagar,AWC,1
17.2039,77.8909,Mallemoniguda,AWC,1
17.1886,77.9151,Nayamathnagar,AWC,1
